"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"Acacb",6.46949004059786,7.3230259383336,6.6333834639888,7.21552100147616,8.63093962882056,8.41744282545998,7.59454648220904,7.78361930485305,7.39494114146383,7.77019241963131,6.91187147083154,6.7313423332878,6.75222456101476,7.01828515844652,7.21456870196526,8.02446175957179,7.46885261584385,8.31836157687481,7.58043243324802,7.31995258352311,7.67138140570288,7.63040646739651,7.88564309290272,7.39207250452171
"Nlrp6",7.88937476589394,8.00434108913229,7.97180524823667,7.87019109182094,7.72259020598597,7.64396174523118,5.84734829056209,6.48030955790631,6.85075411109743,6.67315479987972,7.13020879437098,6.67900930911161,7.97297174365246,8.24252992419621,7.86578787604642,7.95144161900809,7.70687905642123,7.58970849672306,6.26546712835152,6.15515814241225,6.54311188414695,6.48140796072852,5.37261574549302,6.59487007385036
"Ces2a",9.61394087195136,9.61175677125677,9.6198962594497,9.4810256917368,9.43831268142235,9.47088997830808,8.16241305951839,8.37119191069212,8.82689255099314,7.8935777863817,8.50163329214181,8.2452571262931,9.79111380261211,9.50182587408541,8.99554670104784,9.21331285769917,9.30023388227991,9.3186102530459,8.08257620952952,7.99143063271228,8.9186338553042,8.42792893436693,8.43087193707042,9.02114192820616
"Pls1",4.60524553787466,4.34172433438285,5.0229702474747,6.0209030152348,6.06679960950079,5.61287135563883,5.91652939851097,6.13734308350314,6.68287158400779,6.32356300595537,6.72405916338505,7.11814664817992,4.96720873345415,4.47963086059515,5.17799782788618,5.49405193969829,6.10690850698307,5.43688245798509,6.39693846718825,6.22090027123746,6.37627447998031,6.34430986085055,6.5436536901358,6.17518415455276
"Gm11695",4.39808329312647,4.41165929347998,4.29602801474286,5.9704672990144,6.66710286635578,6.97493179758182,6.85177472462605,8.56173803270384,8.00818211275902,8.23288422500509,7.92122800738108,6.2331045301048,4.3798518692901,4.38141991484235,4.51874370295205,6.91475746611655,5.96867039592085,7.63496223439373,8.35262043674785,7.77970686969979,8.92954566014944,6.41392665259049,8.95448849050909,8.55594794200473
"Ttc39aos1",4.54931646404915,3.97088522231175,6.70221471658393,4.94121696116495,4.96436257340227,5.32089247695904,6.0400288911016,7.63732244604764,7.18230622009635,6.91304431777016,6.3968342369147,6.50622042398395,4.86670206789996,5.15448223885964,4.69378053170369,4.22444939437949,5.03727600826822,4.71939421376999,7.15711933603349,6.56881752501392,7.73204781361685,6.88115350225247,6.43700406564944,6.27014788745066
"Gm13021",3.78664398446915,3.77551681734655,3.93196590170403,3.9529344019172,3.57836552586365,4.20542560493195,3.42341732726114,3.61968333520821,3.77537315106336,4.46686766763111,5.35845593873324,4.3723236727447,3.93578175034126,3.84641420091757,4.27043541526618,3.66327946351311,4.34053742885924,3.52814267905656,3.36601781670365,3.99179879854705,3.73157389232276,4.26429823360692,4.25913554248802,4.75590679477187
"Gm11963",5.68157253861373,6.23318619434454,6.46816545925713,5.54177635498346,5.09917736952817,5.51357656900071,4.64678700997417,4.80191199203663,4.6438464705701,4.74099856594882,4.52509467192182,4.68208234478483,5.79338271999723,5.97812116371924,5.71957848297207,4.71554845323918,4.90493432707953,5.53340095182119,4.78920941320389,4.81878672966249,5.00437080221152,4.81184985970777,4.5132665674317,4.72264778202669
"Slc6a8",6.04965963902506,6.6455976563249,6.3091275869118,6.13289426393356,6.06977233496921,6.09621255071818,7.74411828433049,7.57381966787855,6.71948824636303,7.70636365965978,7.11016451239691,6.98148238818351,6.33040748250106,5.71378427561749,6.13811023133186,5.91509404040969,5.78660909224765,5.89346756102971,7.77330683771428,7.15470872394201,7.10685104085632,7.66938746793978,7.27305612607865,6.5499969091076
"Gstt3",5.80062587780748,5.59381167782136,5.75850880720914,7.86204347602086,8.12312444956099,7.8313892448908,6.36628184046027,6.97862268563275,7.0853087515635,6.42539298140981,7.03056035062632,7.17198179460711,5.74824733949578,5.66074687647436,5.12178559192235,7.77940194040827,7.92370834084475,7.72061783681317,6.19285538926796,5.76509947589461,6.68954036803471,6.85838208293424,6.66482725946548,7.80690151015487
"Tmem98",5.31115690391225,5.39197574827377,5.51045831646383,6.0039585313854,5.92525768901648,6.32340556713338,4.94792026225864,5.01322884579432,5.56972721520882,5.64164545514967,5.82482062321706,6.32163856932404,5.34816410313715,4.96756188386369,5.42100591658567,6.20075421201228,6.60643180806367,6.37111144450978,4.88726060164496,5.113608123433,5.31640503358163,5.72050296735503,5.64048894240578,5.9496833851844
"Inca1",6.32675002661203,6.40829729194684,6.8579734195536,6.39023978645588,5.86906566030461,5.10140830700286,4.98587112254925,4.83201792066476,5.01408551659415,4.94388840002192,5.42300255886919,5.51008428950505,5.83614711883312,6.33551871240142,5.85790220523539,6.01252469271348,5.8975781470062,6.16365742201257,4.60195738073254,4.86924643734578,5.4709332486043,5.09827217307262,4.51862776818844,5.13037365869096
"Sbk1",5.93861002078414,5.90223982511014,5.22648961638246,6.4724803622369,6.94143800893037,6.80069322219601,5.40391034835497,6.47524948107468,6.095627567976,6.22400587746519,5.959458006356,6.11675933444688,6.35203681897254,6.40820999138692,5.77208363758012,6.63846930847896,7.16708105782387,6.94143800893037,6.04668196694434,6.27495073158002,6.52100045551314,6.1443003017712,6.23689460054701,6.84328541409873
