"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"17526659",4.18831354118901,4.06206416673592,4.32564839737567,3.82989389940035,3.82213052146535,4.24246044842454,3.74770429390897,4.75546073082751,4.50838191402509,4.50838191402509,4.17193463680855,4.04080786467474,4.32964493991447,3.97326599013528,4.74074018978025,4.48729402113666,3.83555664109711,4.71827477872209,4.18091545712584,4.31704088236453,4.14648601268354,4.66642052831666,4.5421621419941,4.63629007847394
"17408067",4.11117983915359,4.51861854318315,3.9946870560154,4.00895438296515,4.43576412102805,4.47499075946796,4.56061309956376,4.98725164295186,4.60717051865535,5.67934096925914,4.74586439865975,4.55833974717761,4.58054925493365,3.79406063138046,4.18179748857606,4.32718671610607,4.53917759036074,4.89969335021036,4.51708435231684,3.99678550412493,4.27957925683327,4.67314097728607,5.15226994230966,4.48674697429098
"17526473",3.31729107382191,3.04950348380548,2.57846296984178,2.49264920236847,3.21533096518916,2.66421213370501,2.87822500392815,3.03481972929177,2.84910257337407,2.44788016530259,2.82978778301608,2.86164302263251,2.62552895262428,2.76772584593648,2.89928388043833,3.15490434623948,2.61099296261657,2.9894572609748,3.03566076837614,3.1478069474938,3.28036959225712,2.69009709204857,3.54537636817596,3.02195767626315
"17411948",3.87155130323443,3.51428039571943,3.65019197363638,4.09562055266512,4.23470409260476,3.7842920836654,3.27991865019548,3.32178878497404,3.50448522218795,3.66811114557849,3.79076405523127,3.61253796917668,3.70230610621367,3.39122291458548,3.19886427970613,4.11535654844717,3.95348368548256,4.05967248312412,3.11398950708606,3.32080731460166,3.524139277284,3.76987511699898,3.51936229922411,4.00915952289645
"17279759",2.64385775808122,2.57399233426097,2.52952480164625,2.53260693422155,2.6622095252485,2.73980490104132,2.58075803905859,2.8620609495678,2.96657283241014,3.09363119030977,3.13521695187208,3.04421452279073,2.69583216166614,2.56642137796198,3.20924788281002,2.41283118725833,2.92034019027566,2.96022605508246,3.07150889320119,2.52461088261518,2.39425217165669,3.04004196277483,2.89542290406537,2.63764916899515
"17373572",2.72227703250805,2.79771555025243,2.9444440836907,2.84240650208863,2.46427004741759,2.21033341576691,3.27228817929183,3.17625905251901,3.29419464577585,3.95361556210844,3.16778085570579,2.50339510883154,2.77631020866944,2.8094040022219,2.54708734625427,2.5985678765119,2.83701764247503,2.62465214274555,2.87845522009143,3.20146791434833,2.89067670589402,2.71423963111278,3.25410128810318,2.79203898016228
"17366988",3.97925402249019,3.49514976219179,3.4628182340715,3.9684377952051,3.70790161557932,3.52215537351125,4.05222468012592,3.68041474932757,4.33129919679085,3.47010150300467,4.10871541444788,4.14486530854536,3.90941446140057,4.17899995099411,4.02818516420967,3.64497028982737,3.66472988614605,3.3622640440445,4.23971798842535,3.75380423063596,3.77222824971044,3.99665017798674,3.88487766398607,3.88506973088586
"17527465",5.21555334167045,4.56790107383402,4.35188700311435,4.69473960897354,5.2248430941046,4.72991238814424,4.69696600254606,4.25953720773217,4.24261217637141,4.69414364449264,4.54837729563364,4.64833089837721,4.92463475552043,4.74191978007301,4.63199952719161,5.28111604793827,4.64665042833888,4.64187133048812,4.51644090826954,4.51194325948816,4.21188873040948,4.29057895934325,4.33886831860087,4.93262928448101
"17431876",3.98024834723494,4.16243728035685,3.58995808291746,3.91999507238654,4.1383974458408,4.3806262720334,3.91627937202079,3.52800108029433,4.17108646628658,3.34481325729988,3.50073953425491,3.70688488405322,3.77567792719619,4.37133508363611,4.0427924922511,3.75281281621806,3.69737456952071,4.13403826285845,3.73541045355161,3.93302631336664,3.55869043663986,3.76473247964158,3.54087999273554,3.80865534631749
"17406264",2.81069249493305,3.25516197954224,3.14477043268135,3.14067876508308,2.77947628703993,3.68372262387938,3.15471042951104,3.44521717139327,3.63494285054182,2.72540736046539,3.00924502338716,2.77906305357275,2.97067050427145,2.88679296611983,3.23100256957456,2.60189658032291,2.85349091415939,3.26302819248685,2.88639663551261,3.24663956156189,3.09418640855638,3.09607027673426,3.05239083353076,2.97926232710514
